Function,TotalNumber,N,ExecutionTime
EC2,11200,440,0.653934
EC2,11200,450,0.65569
EC2,11200,460,0.66944
EC2,11200,470,0.687333
EC2,11200,480,0.727498
EC2,11200,490,0.758532
EC2,11200,500,0.853652
EC2,11200,510,0.877524
EC2,11200,520,0.951233
EC2,11200,530,0.904124
EC2,11200,540,0.957715
EC2,11200,550,0.97372
EC2,11200,560,1.036378
EC2,11200,570,0.956936
EC2,11200,580,1.000982
EC2,11200,590,1.146081
EC2,11200,600,1.125886
EC2,11200,610,1.1947
EC2,11200,620,1.193228
EC2,11200,630,1.131876
EC2,11200,640,1.165273
EC2,11200,650,1.227945
EC2,11200,660,1.242395
EC2,11200,670,1.258535
EC2,11200,680,1.342499
EC2,11200,690,1.392425
EC2,11200,700,1.353285
EC2,11200,710,1.369217
EC2,11200,720,1.406813
EC2,11200,730,1.427192
EC2,11200,740,1.623528
EC2,11200,750,1.519834
EC2,11200,760,1.586777
EC2,11200,770,1.592875
EC2,11200,780,1.596154
EC2,11200,790,1.808275
EC2,11200,800,1.779344
EC2,11200,810,1.777266
EC2,11200,820,1.778861
EC2,11200,830,1.83774
EC2,11200,840,1.814263
EC2,11200,850,1.862879
EC2,11200,860,1.962403
EC2,11200,870,1.930033
EC2,11200,880,1.972433
EC2,11200,890,2.006004
EC2,11200,900,2.072554
EC2,11200,910,2.08649
EC2,11200,920,2.155584
EC2,11200,930,2.226832
EC2,11200,940,2.326041
EC2,11200,950,2.241415
EC2,11200,960,2.252658
EC2,11200,970,2.28556
EC2,11200,980,2.354844
EC2,11200,990,2.393361
Main,11200,10,0.117761
Main,11200,20,0.145609
Main,11200,30,0.1674
Main,11200,40,0.169533
Main,11200,50,0.147703
Main,11200,60,0.170861
Main,11200,70,0.21154
Main,11200,80,0.162958
Main,11200,90,0.165895
Main,11200,100,0.176629
Main,11200,110,0.190749
Main,11200,120,0.215081
Main,11200,130,0.200097
Main,11200,140,0.178179
Main,11200,150,0.22899
Main,11200,160,0.254297
Main,11200,170,0.212189
Main,11200,180,0.2495
Main,11200,190,0.175941
Main,11200,200,0.169911
Main,11200,210,0.230223
Main,11200,220,0.219523
Main,11200,230,0.180824
Main,11200,240,0.16688
Main,11200,250,0.189878
Main,11200,260,0.145299
Main,11200,270,0.196521
Main,11200,280,0.179369
Main,11200,290,0.163634
Main,11200,300,0.170614
Main,11200,310,0.203275
Main,11200,320,0.228041
Main,11200,330,0.175785
Main,11200,340,0.204487
Main,11200,350,0.196876
Main,11200,360,0.192607
Main,11200,370,0.177599
Main,11200,380,0.176505
Main,11200,390,0.193446
Main,11200,400,0.169652
Main,11200,410,0.179718
Main,11200,420,0.208967
Main,11200,430,0.198468
Main,11200,440,0.204165
Main,11200,450,0.178732
Main,11200,460,0.184495
Main,11200,470,0.261525
Main,11200,480,0.244684
Main,11200,490,0.195552
Main,11200,500,0.216097
Main,11200,510,0.234287
Main,11200,520,0.192849
Main,11200,530,0.220881
Main,11200,540,0.184387
Main,11200,550,0.240561
Main,11200,560,0.2022
Main,11200,570,0.183217
Main,11200,580,0.186641
Main,11200,590,0.247105
Main,11200,600,0.173164
Main,11200,610,0.18506
Main,11200,620,0.243583
Main,11200,630,0.214416
Main,11200,640,0.205177
Main,11200,650,0.174138
Main,11200,660,0.204787
Main,11200,670,0.187331
Main,11200,680,0.197614
Main,11200,690,0.247669
Main,11200,700,0.188602
Main,11200,710,0.22961
Main,11200,720,0.192982
Main,11200,730,0.193143
Main,11200,740,0.249496
Main,11200,750,0.206024
Main,11200,760,0.235184
Main,11200,770,0.252904
Main,11200,780,0.198673
Main,11200,790,0.199677
Main,11200,800,0.188408
Main,11200,810,0.24928
Main,11200,820,0.226412
Main,11200,830,0.211792
Main,11200,840,0.170441
Main,11200,850,0.208496
Main,11200,860,0.213166
Main,11200,870,0.201459
Main,11200,880,0.189901
Main,11200,890,0.185658
Main,11200,900,0.196061
Main,11200,910,0.19743
Main,11200,920,0.224364
Main,11200,930,0.239685
Main,11200,940,0.226094
Main,11200,950,0.197166
Main,11200,960,0.190043
Main,11200,970,0.249639
Main,11200,980,0.186823
Main,11200,990,0.261129
EC2,11300,10,0.054142
EC2,11300,20,0.059219
EC2,11300,30,0.048702
EC2,11300,40,0.044234
EC2,11300,50,0.051956
EC2,11300,60,0.059025
EC2,11300,70,0.055131
EC2,11300,80,0.06259
EC2,11300,90,0.085362
EC2,11300,100,0.082938
EC2,11300,110,0.081452
EC2,11300,120,0.096919
EC2,11300,130,0.103393
EC2,11300,140,0.116063
EC2,11300,150,0.110454
EC2,11300,160,0.137712
EC2,11300,170,0.132905
EC2,11300,180,0.145144
EC2,11300,190,0.175369
EC2,11300,200,0.170627
EC2,11300,210,0.199008
EC2,11300,220,0.20633
EC2,11300,230,0.222017
EC2,11300,240,0.240781
EC2,11300,250,0.256769
EC2,11300,260,0.265689
EC2,11300,270,0.294387
EC2,11300,280,0.301575
EC2,11300,290,0.316389
EC2,11300,300,0.329031
EC2,11300,310,0.345777
EC2,11300,320,0.369682
EC2,11300,330,0.384633
EC2,11300,340,0.404007
EC2,11300,350,0.424203
EC2,11300,360,0.4683
EC2,11300,370,0.499651
EC2,11300,380,0.542324
EC2,11300,390,0.586994
EC2,11300,400,0.569574
EC2,11300,410,0.563744
EC2,11300,420,0.572857
EC2,11300,430,0.674778
EC2,11300,440,0.652602
EC2,11300,450,0.76971
EC2,11300,460,0.725142
EC2,11300,470,0.76128
EC2,11300,480,0.761465
EC2,11300,490,0.765791
EC2,11300,500,0.777451
EC2,11300,510,0.800711
EC2,11300,520,0.869815
EC2,11300,530,0.852328
EC2,11300,540,0.873861
EC2,11300,550,0.905173
EC2,11300,560,0.938163
EC2,11300,570,1.04781
EC2,11300,580,0.996115
EC2,11300,590,1.010165
EC2,11300,600,1.055026
EC2,11300,610,1.164446
EC2,11300,620,1.161323
EC2,11300,630,1.199496
EC2,11300,640,1.265688
EC2,11300,650,1.279567
EC2,11300,660,1.359768
EC2,11300,670,1.290951
EC2,11300,680,1.29055
EC2,11300,690,1.3133
EC2,11300,700,1.393482
EC2,11300,710,1.415534
EC2,11300,720,1.499999
EC2,11300,730,1.513278
EC2,11300,740,1.569907
EC2,11300,750,1.64369
EC2,11300,760,1.64867
EC2,11300,770,1.648102
EC2,11300,780,1.666858
EC2,11300,790,1.69383
EC2,11300,800,1.715734
EC2,11300,810,1.771358
EC2,11300,820,1.8554
EC2,11300,830,1.801305
EC2,11300,840,1.811959
EC2,11300,850,1.854075
EC2,11300,860,1.888942
EC2,11300,870,1.953029
EC2,11300,880,2.010938
EC2,11300,890,2.143773
EC2,11300,900,2.076308
EC2,11300,910,2.143757
EC2,11300,920,2.154111
EC2,11300,930,2.175046
EC2,11300,940,2.185882
EC2,11300,950,2.231218
EC2,11300,960,2.277579
EC2,11300,970,2.320385
EC2,11300,980,2.363815
EC2,11300,990,2.449181
Main,11300,10,0.1804
Main,11300,20,0.243003
Main,11300,30,0.171134
Main,11300,40,0.179355
Main,11300,50,0.216017
Main,11300,60,0.183188
Main,11300,70,0.17337
Main,11300,80,0.22201
Main,11300,90,0.182171
Main,11300,100,0.17675
Main,11300,110,0.182567
Main,11300,120,0.176852
Main,11300,130,0.188419
Main,11300,140,0.155201
Main,11300,150,0.241757
Main,11300,160,0.174132
Main,11300,170,0.197026
Main,11300,180,0.222858
Main,11300,190,0.193597
Main,11300,200,0.18056
Main,11300,210,0.184809
Main,11300,220,0.173886
Main,11300,230,0.173988
Main,11300,240,0.179777
Main,11300,250,0.162592
Main,11300,260,0.181383
Main,11300,270,0.213218
Main,11300,280,0.185633
Main,11300,290,0.181986
Main,11300,300,0.21213
Main,11300,310,0.228562
Main,11300,320,0.223441
Main,11300,330,0.196965
Main,11300,340,0.205815
Main,11300,350,0.21635
Main,11300,360,0.185557
Main,11300,370,0.187462
Main,11300,380,0.161937
Main,11300,390,0.231802
Main,11300,400,0.190834
Main,11300,410,0.183967
Main,11300,420,0.180352
Main,11300,430,0.205619
Main,11300,440,0.203288
Main,11300,450,0.199727
Main,11300,460,0.235085
Main,11300,470,0.21986
Main,11300,480,0.224918
Main,11300,490,0.174642
Main,11300,500,0.179286
Main,11300,510,0.200292
Main,11300,520,0.198284
Main,11300,530,0.176319
Main,11300,540,0.272941
Main,11300,550,0.179614
Main,11300,560,0.229441
Main,11300,570,0.251419
Main,11300,580,0.179279
Main,11300,590,0.247836
Main,11300,600,0.200588
Main,11300,610,0.205004
Main,11300,620,0.213105
Main,11300,630,0.187005
Main,11300,640,0.237209
Main,11300,650,0.193242
Main,11300,660,0.247109
Main,11300,670,0.249879
Main,11300,680,0.224789
Main,11300,690,0.155173
Main,11300,700,0.216927
Main,11300,710,0.248365
Main,11300,720,0.170407
Main,11300,730,0.265799
Main,11300,740,0.190252
Main,11300,750,0.182647
Main,11300,760,0.203066
Main,11300,770,0.189071
Main,11300,780,0.257147
Main,11300,790,0.202263
Main,11300,800,0.178852
Main,11300,810,0.23151
Main,11300,820,0.203095
Main,11300,830,0.174419
Main,11300,840,0.24898
Main,11300,850,0.171249
Main,11300,860,0.184686
Main,11300,870,0.207164
Main,11300,880,0.249189
Main,11300,890,0.180145
Main,11300,900,0.205821
Main,11300,910,0.238484
Main,11300,920,0.204146
Main,11300,930,0.190048
Main,11300,940,0.242212
Main,11300,950,0.232562
Main,11300,960,0.178223
Main,11300,970,0.231789
Main,11300,980,0.187562
Main,11300,990,0.173632
EC2,11400,10,0.083151
EC2,11400,20,0.045606
EC2,11400,30,0.039242
EC2,11400,40,0.045298
EC2,11400,50,0.051706
EC2,11400,60,0.063095
EC2,11400,70,0.075406
EC2,11400,80,0.068358
EC2,11400,90,0.065421
EC2,11400,100,0.09171
EC2,11400,110,0.103179
EC2,11400,120,0.117431
EC2,11400,130,0.177257
EC2,11400,140,0.147141
EC2,11400,150,0.147935
EC2,11400,160,0.161815
EC2,11400,170,0.165554
EC2,11400,180,0.19136
EC2,11400,190,0.208043
EC2,11400,200,0.192136
EC2,11400,210,0.196954
EC2,11400,220,0.228043
EC2,11400,230,0.225387
EC2,11400,240,0.245588
EC2,11400,250,0.264255
EC2,11400,260,0.264971
EC2,11400,270,0.293634
EC2,11400,280,0.31246
EC2,11400,290,0.33219
EC2,11400,300,0.339294
EC2,11400,310,0.36373
EC2,11400,320,0.384046
EC2,11400,330,0.398976
EC2,11400,340,0.437268
EC2,11400,350,0.450481
EC2,11400,360,0.471524
EC2,11400,370,0.518588
EC2,11400,380,0.514071
EC2,11400,390,0.518094
EC2,11400,400,0.533109
EC2,11400,410,0.555235
EC2,11400,420,0.577635
EC2,11400,430,0.618209
EC2,11400,440,0.659868
EC2,11400,450,0.707195
EC2,11400,460,0.80898
EC2,11400,470,0.733921
EC2,11400,480,0.736396
EC2,11400,490,0.776834
EC2,11400,500,0.795514
EC2,11400,510,0.80912
EC2,11400,520,0.840627
EC2,11400,530,0.874612
EC2,11400,540,0.888728
EC2,11400,550,0.902894
EC2,11400,560,0.942866
EC2,11400,570,0.966383
EC2,11400,580,1.030817
EC2,11400,590,1.090486
EC2,11400,600,1.111186
EC2,11400,610,1.106777
EC2,11400,620,1.12916
EC2,11400,630,1.158371
EC2,11400,640,1.313776
EC2,11400,650,1.24336
EC2,11400,660,1.334177
EC2,11400,670,1.299143
EC2,11400,680,1.303581
EC2,11400,690,1.406742
EC2,11400,700,1.423203
EC2,11400,710,1.442684
EC2,11400,720,1.458839
EC2,11400,730,1.497662
EC2,11400,740,1.615652
EC2,11400,750,1.625323
EC2,11400,760,1.592865
EC2,11400,770,1.636235
EC2,11400,780,1.698879
EC2,11400,790,1.690251
EC2,11400,800,1.711738
EC2,11400,810,1.727857
EC2,11400,820,1.769024
EC2,11400,830,1.870088
EC2,11400,840,1.938568
EC2,11400,850,1.914953
EC2,11400,860,2.039597
EC2,11400,870,1.955951
EC2,11400,880,2.118997
EC2,11400,890,2.076747
EC2,11400,900,2.098125
EC2,11400,910,2.179962
EC2,11400,920,2.201345
EC2,11400,930,2.189932
EC2,11400,940,2.21114
EC2,11400,950,2.273327
EC2,11400,960,2.292752
EC2,11400,970,2.420092
EC2,11400,980,2.378349
EC2,11400,990,2.489567
Main,11400,10,0.183187
Main,11400,20,0.226948
Main,11400,30,0.161859
Main,11400,40,0.164099
Main,11400,50,0.189769
Main,11400,60,0.17029
Main,11400,70,0.16666
Main,11400,80,0.186977
Main,11400,90,0.22262
Main,11400,100,0.176027
Main,11400,110,0.16994
Main,11400,120,0.212019
Main,11400,130,0.207482
Main,11400,140,0.167636
Main,11400,150,0.183527
Main,11400,160,0.160549
Main,11400,170,0.213509
Main,11400,180,0.153675
Main,11400,190,0.191207
Main,11400,200,0.226778
Main,11400,210,0.219596
Main,11400,220,0.168947
Main,11400,230,0.186593
Main,11400,240,0.179038
Main,11400,250,0.184064
Main,11400,260,0.173668
Main,11400,270,0.216118
Main,11400,280,0.227651
Main,11400,290,0.163582
Main,11400,300,0.183361
Main,11400,310,0.160025
Main,11400,320,0.169627
Main,11400,330,0.19047
Main,11400,340,0.174549
Main,11400,350,0.180419
Main,11400,360,0.18877
Main,11400,370,0.237183
Main,11400,380,0.211425
Main,11400,390,0.24099
Main,11400,400,0.199227
Main,11400,410,0.226391
Main,11400,420,0.192832
Main,11400,430,0.226092
Main,11400,440,0.217497
Main,11400,450,0.19816
Main,11400,460,0.177951
Main,11400,470,0.16616
Main,11400,480,0.184311
Main,11400,490,0.198115
Main,11400,500,0.199763
Main,11400,510,0.232368
Main,11400,520,0.209999
Main,11400,530,0.208979
Main,11400,540,0.258459
Main,11400,550,0.227093
Main,11400,560,0.152555
Main,11400,570,0.188132
Main,11400,580,0.277114
Main,11400,590,0.216746
Main,11400,600,0.233683
Main,11400,610,0.227807
Main,11400,620,0.17403
Main,11400,630,0.173832
Main,11400,640,0.241408
Main,11400,650,0.215896
Main,11400,660,0.201321
Main,11400,670,0.226681
Main,11400,680,0.228023
Main,11400,690,0.217189
Main,11400,700,0.213538
Main,11400,710,0.181822
Main,11400,720,0.202864
Main,11400,730,0.183796
Main,11400,740,0.218358
Main,11400,750,0.196305
Main,11400,760,0.215043
Main,11400,770,0.190959
Main,11400,780,0.208838
Main,11400,790,0.239884
Main,11400,800,0.218269
Main,11400,810,0.203041
Main,11400,820,0.244509
Main,11400,830,0.191281
Main,11400,840,0.173473
Main,11400,850,0.22135
Main,11400,860,0.179006
Main,11400,870,0.19271
Main,11400,880,0.245826
Main,11400,890,0.169834
Main,11400,900,0.164259
Main,11400,910,0.200195
Main,11400,920,0.209271
Main,11400,930,0.198402
Main,11400,940,0.207947
Main,11400,950,0.234964
Main,11400,960,0.225534
Main,11400,970,0.219295
Main,11400,980,0.20796
Main,11400,990,0.199128
EC2,11500,10,0.08516
EC2,11500,20,0.045727
EC2,11500,30,0.050214
EC2,11500,40,0.046212
EC2,11500,50,0.055259
EC2,11500,60,0.074715
EC2,11500,70,0.080297
EC2,11500,80,0.072267
EC2,11500,90,0.098944
EC2,11500,100,0.115378
EC2,11500,110,0.10101
EC2,11500,120,0.105628
EC2,11500,130,0.10278
EC2,11500,140,0.118807
EC2,11500,150,0.129265
EC2,11500,160,0.124059
EC2,11500,170,0.13592
EC2,11500,180,0.148218
EC2,11500,190,0.161088
EC2,11500,200,0.190266
EC2,11500,210,0.196891
EC2,11500,220,0.202414
EC2,11500,230,0.217567
EC2,11500,240,0.232879
EC2,11500,250,0.265427
EC2,11500,260,0.266506
EC2,11500,270,0.281273
EC2,11500,280,0.334645
EC2,11500,290,0.32655
EC2,11500,300,0.341127
EC2,11500,310,0.358628
EC2,11500,320,0.404146
EC2,11500,330,0.407992
EC2,11500,340,0.420517
EC2,11500,350,0.517573
EC2,11500,360,0.51097
EC2,11500,370,0.513087
EC2,11500,380,0.513186
EC2,11500,390,0.535167
EC2,11500,400,0.541031
EC2,11500,410,0.571332
EC2,11500,420,0.599678
EC2,11500,430,0.619933
EC2,11500,440,0.684363
EC2,11500,450,0.681816
EC2,11500,460,0.713334
EC2,11500,470,0.718282
EC2,11500,480,0.7687
EC2,11500,490,0.787523
EC2,11500,500,0.819919
EC2,11500,510,0.950141
EC2,11500,520,1.018573
EC2,11500,530,0.947651
EC2,11500,540,0.954002
EC2,11500,550,1.027539
EC2,11500,560,0.977294
EC2,11500,570,1.047311
EC2,11500,580,1.130068
EC2,11500,590,1.165539
EC2,11500,600,1.162131
EC2,11500,610,1.186438
EC2,11500,620,1.167436
EC2,11500,630,1.257541
EC2,11500,640,1.272
EC2,11500,650,1.225048
EC2,11500,660,1.249229
EC2,11500,670,1.275953
EC2,11500,680,1.307744
EC2,11500,690,1.453181
EC2,11500,700,1.382223
EC2,11500,710,1.405578
EC2,11500,720,1.436708
EC2,11500,730,1.522706
EC2,11500,740,1.536
EC2,11500,750,1.551148
EC2,11500,760,1.718817
EC2,11500,770,1.640751
EC2,11500,780,1.654436
EC2,11500,790,1.677377
EC2,11500,800,1.715044
EC2,11500,810,1.758986
EC2,11500,820,1.838275
EC2,11500,830,1.846651
EC2,11500,840,1.857423
EC2,11500,850,1.892596
EC2,11500,860,1.956755
EC2,11500,870,1.992219
EC2,11500,880,2.02692
EC2,11500,890,2.096466
EC2,11500,900,2.131916
EC2,11500,910,2.223238
EC2,11500,920,2.331039
EC2,11500,930,2.208506
EC2,11500,940,2.250836
EC2,11500,950,2.295034
EC2,11500,960,2.31868
EC2,11500,970,2.34843
EC2,11500,980,2.410415
EC2,11500,990,2.527695
Main,11500,10,0.180724
Main,11500,20,0.185564
Main,11500,30,0.17514
Main,11500,40,0.191616
Main,11500,50,0.149093
Main,11500,60,0.172858
Main,11500,70,0.168558
Main,11500,80,0.171867
Main,11500,90,0.178447
Main,11500,100,0.176965
Main,11500,110,0.187352
Main,11500,120,0.178518
Main,11500,130,0.218205
Main,11500,140,0.201445
Main,11500,150,0.221067
Main,11500,160,0.190246
Main,11500,170,0.21848
Main,11500,180,0.187108
Main,11500,190,0.197261
Main,11500,200,0.221744
Main,11500,210,0.193125
Main,11500,220,0.246012
Main,11500,230,0.183691
Main,11500,240,0.152449
Main,11500,250,0.22247
Main,11500,260,0.176845
Main,11500,270,0.200896
Main,11500,280,0.237102
Main,11500,290,0.186795
Main,11500,300,0.24139
Main,11500,310,0.209828
Main,11500,320,0.172476
Main,11500,330,0.214996
Main,11500,340,0.189753
Main,11500,350,0.166212
Main,11500,360,0.187023
Main,11500,370,0.182495
Main,11500,380,0.199511
Main,11500,390,0.20091
Main,11500,400,0.211976
Main,11500,410,0.196221
Main,11500,420,0.217873
Main,11500,430,0.205313
Main,11500,440,0.184249
Main,11500,450,0.170128
Main,11500,460,0.243646
Main,11500,470,0.194821
Main,11500,480,0.20391
Main,11500,490,0.227116
Main,11500,500,0.240777
Main,11500,510,0.164073
Main,11500,520,0.173846
Main,11500,530,0.18466
Main,11500,540,0.244618
Main,11500,550,0.190411
Main,11500,560,0.200306
Main,11500,570,0.171933
Main,11500,580,0.178108
Main,11500,590,0.193563
Main,11500,600,0.185121
Main,11500,610,0.19287
Main,11500,620,0.231377
Main,11500,630,0.19666
Main,11500,640,0.181257
Main,11500,650,0.166664
Main,11500,660,0.184117
Main,11500,670,0.179734
Main,11500,680,0.195437
Main,11500,690,0.206815
Main,11500,700,0.188995
Main,11500,710,0.205974
Main,11500,720,0.211497
Main,11500,730,0.175572
Main,11500,740,0.179977
Main,11500,750,0.175286
Main,11500,760,0.2248
Main,11500,770,0.178967
Main,11500,780,0.197724
Main,11500,790,0.197554
Main,11500,800,0.249048
Main,11500,810,0.177989
Main,11500,820,0.241912
Main,11500,830,0.192124
Main,11500,840,0.15219
Main,11500,850,0.187678
Main,11500,860,0.170874
Main,11500,870,0.217413
Main,11500,880,0.196555
Main,11500,890,0.178934
Main,11500,900,0.181465
Main,11500,910,0.205329
Main,11500,920,0.187979
Main,11500,930,0.177288
Main,11500,940,0.200484
Main,11500,950,0.225857
Main,11500,960,0.196051
Main,11500,970,0.164671
Main,11500,980,0.18746
Main,11500,990,0.201418
EC2,11600,10,0.049505
EC2,11600,20,0.04988
EC2,11600,30,0.04077
EC2,11600,40,0.046568
EC2,11600,50,0.052484
EC2,11600,60,0.049559
EC2,11600,70,0.05393
EC2,11600,80,0.051845
EC2,11600,90,0.067245
EC2,11600,100,0.065424
EC2,11600,110,0.074077
EC2,11600,120,0.086484
EC2,11600,130,0.093788
EC2,11600,140,0.118901
EC2,11600,150,0.113417
EC2,11600,160,0.125048
EC2,11600,170,0.152495
EC2,11600,180,0.148913
EC2,11600,190,0.164599
EC2,11600,200,0.175529
EC2,11600,210,0.189229
EC2,11600,220,0.204998
EC2,11600,230,0.219112
EC2,11600,240,0.23405
EC2,11600,250,0.256822
EC2,11600,260,0.26646
EC2,11600,270,0.315673
EC2,11600,280,0.310907
EC2,11600,290,0.337262
EC2,11600,300,0.343478
EC2,11600,310,0.35686
EC2,11600,320,0.375844
EC2,11600,330,0.400391
EC2,11600,340,0.415821
EC2,11600,350,0.574419
EC2,11600,360,0.526818
EC2,11600,370,0.553159
EC2,11600,380,0.600911
EC2,11600,390,0.547132
EC2,11600,400,0.568844
EC2,11600,410,0.566919
EC2,11600,420,0.636895
EC2,11600,430,0.679226
EC2,11600,440,0.715056
EC2,11600,450,0.786682
EC2,11600,460,0.760898
EC2,11600,470,0.782699
EC2,11600,480,0.754608
EC2,11600,490,0.806441
EC2,11600,500,0.844591
EC2,11600,510,0.883588
EC2,11600,520,0.882509
EC2,11600,530,0.911387
EC2,11600,540,0.921033
EC2,11600,550,0.927272
EC2,11600,560,0.963996
EC2,11600,570,1.00457
EC2,11600,580,1.043644
EC2,11600,590,1.063119
EC2,11600,600,1.095432
EC2,11600,610,1.110267
EC2,11600,620,1.165837
EC2,11600,630,1.211919
EC2,11600,640,1.216766
EC2,11600,650,1.260373
EC2,11600,660,1.307145
EC2,11600,670,1.306557
EC2,11600,680,1.547228
EC2,11600,690,1.460544
EC2,11600,700,1.410761
EC2,11600,710,1.438348
EC2,11600,720,1.459915
EC2,11600,730,1.496502
EC2,11600,740,1.524294
EC2,11600,750,1.603026
EC2,11600,760,1.722349
EC2,11600,770,1.766494
EC2,11600,780,1.722352
EC2,11600,790,1.73992
EC2,11600,800,1.825219
EC2,11600,810,1.834593
EC2,11600,820,1.993733
EC2,11600,830,1.937389
EC2,11600,840,1.899625
EC2,11600,850,2.022906
EC2,11600,860,1.975044
EC2,11600,870,2.010906
EC2,11600,880,2.090471
EC2,11600,890,2.112638
EC2,11600,900,2.108565
EC2,11600,910,2.150191
EC2,11600,920,2.186803
EC2,11600,930,2.225694
EC2,11600,940,2.266846
EC2,11600,950,2.317174
EC2,11600,960,2.345922
EC2,11600,970,2.383624
EC2,11600,980,2.537708
EC2,11600,990,2.658268
Main,11600,10,0.163459
Main,11600,20,0.178881
Main,11600,30,0.216828
Main,11600,40,0.164748
Main,11600,50,0.249279
Main,11600,60,0.226208
Main,11600,70,0.223033
Main,11600,80,0.178376
Main,11600,90,0.21068
Main,11600,100,0.172558
Main,11600,110,0.201064
Main,11600,120,0.212532
Main,11600,130,0.17192
Main,11600,140,0.177457
Main,11600,150,0.160176
Main,11600,160,0.225895
Main,11600,170,0.194988
Main,11600,180,0.204727
Main,11600,190,0.194231
Main,11600,200,0.188297
Main,11600,210,0.202865
Main,11600,220,0.218481
Main,11600,230,0.174643
Main,11600,240,0.202335
Main,11600,250,0.186908
Main,11600,260,0.239039
Main,11600,270,0.211436
Main,11600,280,0.199834
Main,11600,290,0.195966
Main,11600,300,0.215823
Main,11600,310,0.177226
Main,11600,320,0.209166
Main,11600,330,0.225639
Main,11600,340,0.201995
Main,11600,350,0.208459
Main,11600,360,0.199081
Main,11600,370,0.182609
Main,11600,380,0.249867
Main,11600,390,0.214285
Main,11600,400,0.211939
Main,11600,410,0.259319
Main,11600,420,0.188368
Main,11600,430,0.220889
Main,11600,440,0.232014
Main,11600,450,0.24852
Main,11600,460,0.183865
Main,11600,470,0.162675
Main,11600,480,0.179325
Main,11600,490,0.199149
Main,11600,500,0.17382
Main,11600,510,0.188208
Main,11600,520,0.187565
Main,11600,530,0.191751
Main,11600,540,0.255302
Main,11600,550,0.198871
Main,11600,560,0.202047
Main,11600,570,0.176408
Main,11600,580,0.244409
Main,11600,590,0.229361
Main,11600,600,0.19766
Main,11600,610,0.171629
Main,11600,620,0.193999
Main,11600,630,0.210418
Main,11600,640,0.17464
Main,11600,650,0.218525
Main,11600,660,0.249101
Main,11600,670,0.202155
Main,11600,680,0.201728
Main,11600,690,0.204307
Main,11600,700,0.174821
Main,11600,710,0.250786
Main,11600,720,0.235233
Main,11600,730,0.21785
Main,11600,740,0.243943
Main,11600,750,0.242945
Main,11600,760,0.277666
Main,11600,770,0.213301
Main,11600,780,0.208955
Main,11600,790,0.217923
Main,11600,800,0.194995
Main,11600,810,0.195958
Main,11600,820,0.181358
Main,11600,830,0.181713
Main,11600,840,0.172841
Main,11600,850,0.187338
Main,11600,860,0.150442
Main,11600,870,0.259584
Main,11600,880,0.250567
Main,11600,890,0.197679
Main,11600,900,0.214366
Main,11600,910,0.216996
Main,11600,920,0.18309
Main,11600,930,0.209483
Main,11600,940,0.204019
Main,11600,950,0.252992
Main,11600,960,0.192332
Main,11600,970,0.270427
Main,11600,980,0.195969
Main,11600,990,0.195054
EC2,11700,10,0.074074
EC2,11700,20,0.050664
EC2,11700,30,0.049807
EC2,11700,40,0.046031
EC2,11700,50,0.05357
EC2,11700,60,0.050878
EC2,11700,70,0.062348
EC2,11700,80,0.063585
EC2,11700,90,0.065273
EC2,11700,100,0.076639
EC2,11700,110,0.074975
EC2,11700,120,0.089117
EC2,11700,130,0.095337
EC2,11700,140,0.129937
EC2,11700,150,0.13087
EC2,11700,160,0.130382
EC2,11700,170,0.138879
EC2,11700,180,0.151624
EC2,11700,190,0.168064
EC2,11700,200,0.178447
EC2,11700,210,0.192505
EC2,11700,220,0.207178
EC2,11700,230,0.222051
EC2,11700,240,0.237788
EC2,11700,250,0.253979
EC2,11700,260,0.270396
EC2,11700,270,0.365245
EC2,11700,280,0.328076
EC2,11700,290,0.337476
EC2,11700,300,0.347574
EC2,11700,310,0.366048
EC2,11700,320,0.3858
EC2,11700,330,0.407617
EC2,11700,340,0.420458
EC2,11700,350,0.536674
EC2,11700,360,0.557963
EC2,11700,370,0.50478
EC2,11700,380,0.536964
EC2,11700,390,0.62645
EC2,11700,400,0.625524
EC2,11700,410,0.662302
EC2,11700,420,0.627764
EC2,11700,430,0.641045
EC2,11700,440,0.653313
EC2,11700,450,0.678968
EC2,11700,460,0.694711
EC2,11700,470,0.728469
EC2,11700,480,0.763516
EC2,11700,490,0.794977
EC2,11700,500,0.810074
EC2,11700,510,0.829208
EC2,11700,520,0.855272
EC2,11700,530,0.879117
EC2,11700,540,0.907333
EC2,11700,550,1.105229
EC2,11700,560,1.146163
EC2,11700,570,1.084972
EC2,11700,580,1.181903
EC2,11700,590,1.202282
EC2,11700,600,1.105058
EC2,11700,610,1.13163
EC2,11700,620,1.143665
EC2,11700,630,1.184925
EC2,11700,640,1.268619
EC2,11700,650,1.272799
EC2,11700,660,1.318699
EC2,11700,670,1.305034
EC2,11700,680,1.337907
EC2,11700,690,1.393207
EC2,11700,700,1.441034
EC2,11700,710,1.451276
EC2,11700,720,1.481797
EC2,11700,730,1.550173
EC2,11700,740,1.5728
EC2,11700,750,1.587318
EC2,11700,760,1.643586
EC2,11700,770,1.774701
EC2,11700,780,1.71733
EC2,11700,790,1.715217
EC2,11700,800,1.753654
EC2,11700,810,1.784092
EC2,11700,820,1.816381
EC2,11700,830,1.856793
EC2,11700,840,1.88928
EC2,11700,850,1.939562
EC2,11700,860,2.07239
EC2,11700,870,2.044243
