Function,Total Number,N,Execution Time
EC2,600,470,0.024738
EC2,600,480,0.029675
EC2,600,490,0.039479
EC2,600,500,0.031695
EC2,600,510,0.052082
EC2,600,520,0.061844
EC2,600,530,0.033915
EC2,600,540,0.040308
EC2,600,550,0.045667
EC2,600,560,0.036076
EC2,600,570,0.049520
EC2,600,580,0.031557
EC2,600,590,0.031730
EC2,600,600,0.035636
Main,600,10,0.019707
Main,600,20,0.012088
Main,600,30,0.011027
Main,600,40,0.005003
Main,600,50,0.011442
Main,600,60,0.005150
Main,600,70,0.010465
Main,600,80,0.002833
Main,600,90,0.003137
Main,600,100,0.016595
Main,600,110,0.022128
Main,600,120,0.017121
Main,600,130,0.033112
Main,600,140,0.023613
Main,600,150,0.021867
Main,600,160,0.028860
Main,600,170,0.017240
Main,600,180,0.018700
Main,600,190,0.035043
Main,600,200,0.016886
Main,600,210,0.019439
Main,600,220,0.020849
Main,600,230,0.019088
Main,600,240,0.035412
Main,600,250,0.023237
Main,600,260,0.019243
Main,600,270,0.018777
Main,600,280,0.033757
Main,600,290,0.019871
Main,600,300,0.016621
Main,600,310,0.017405
Main,600,320,0.019242
Main,600,330,0.023775
Main,600,340,0.021290
Main,600,350,0.020883
Main,600,360,0.019008
Main,600,370,0.024622
Main,600,380,0.046337
Main,600,390,0.030847
Main,600,400,0.023166
Main,600,410,0.019735
Main,600,420,0.026835
Main,600,430,0.024154
Main,600,440,0.021653
Main,600,450,0.032375
Main,600,460,0.019972
Main,600,470,0.034522
Main,600,480,0.023857
Main,600,490,0.015337
Main,600,500,0.030229
Main,600,510,0.032962
Main,600,520,0.029216
Main,600,530,0.022192
Main,600,540,0.030716
Main,600,550,0.032703
Main,600,560,0.030938
Main,600,570,0.028748
Main,600,580,0.021429
Main,600,590,0.027671
Main,600,600,0.056334
EC2,700,10,0.018226
EC2,700,20,0.013394
EC2,700,30,0.006267
EC2,700,40,0.008866
EC2,700,50,0.008638
EC2,700,60,0.008955
EC2,700,70,0.007534
EC2,700,80,0.013793
EC2,700,90,0.009981
EC2,700,100,0.010440
EC2,700,110,0.010677
EC2,700,120,0.022977
EC2,700,130,0.016403
EC2,700,140,0.016946
EC2,700,150,0.023606
EC2,700,160,0.028192
EC2,700,170,0.019724
EC2,700,180,0.027082
EC2,700,190,0.029083
EC2,700,200,0.021874
EC2,700,210,0.021949
EC2,700,220,0.023219
EC2,700,230,0.020775
EC2,700,240,0.026932
EC2,700,250,0.020159
EC2,700,260,0.020763
EC2,700,270,0.022043
EC2,700,280,0.022971
EC2,700,290,0.024112
EC2,700,300,0.038780
EC2,700,310,0.035632
EC2,700,320,0.035239
EC2,700,330,0.036904
EC2,700,340,0.028046
EC2,700,350,0.029400
EC2,700,360,0.045263
EC2,700,370,0.036339
EC2,700,380,0.030973
EC2,700,390,0.042668
EC2,700,400,0.077476
EC2,700,410,0.051396
EC2,700,420,0.043420
EC2,700,430,0.033515
EC2,700,440,0.030517
EC2,700,450,0.047165
EC2,700,460,0.076324
EC2,700,470,0.035837
EC2,700,480,0.048288
EC2,700,490,0.036160
EC2,700,500,0.048095
EC2,700,510,0.031621
EC2,700,520,0.042901
EC2,700,530,0.039626
EC2,700,540,0.037865
EC2,700,550,0.034131
EC2,700,560,0.039438
EC2,700,570,0.043524
EC2,700,580,0.032383
EC2,700,590,0.044729
EC2,700,600,0.038821
EC2,700,610,0.045134
EC2,700,620,0.035614
EC2,700,630,0.039460
EC2,700,640,0.043653
EC2,700,650,0.045396
EC2,700,660,0.048985
EC2,700,670,0.055724
EC2,700,680,0.053774
EC2,700,690,0.050789
EC2,700,700,0.042576
Main,700,10,0.015580
Main,700,20,0.017028
Main,700,30,0.013546
Main,700,40,0.019525
Main,700,50,0.011799
Main,700,60,0.012226
Main,700,70,0.010136
Main,700,80,0.007370
Main,700,90,0.011693
Main,700,100,0.017192
Main,700,110,0.023508
Main,700,120,0.019880
Main,700,130,0.022795
Main,700,140,0.017965
Main,700,150,0.019261
Main,700,160,0.014353
Main,700,170,0.018431
Main,700,180,0.021381
Main,700,190,0.023156
Main,700,200,0.019706
Main,700,210,0.018041
Main,700,220,0.016844
Main,700,230,0.050173
Main,700,240,0.021301
Main,700,250,0.016960
Main,700,260,0.018023
Main,700,270,0.021531
Main,700,280,0.022461
Main,700,290,0.022943
Main,700,300,0.029092
Main,700,310,0.045204
Main,700,320,0.019923
Main,700,330,0.020526
Main,700,340,0.036479
Main,700,350,0.018454
Main,700,360,0.021061
Main,700,370,0.022759
Main,700,380,0.026373
Main,700,390,0.040688
Main,700,400,0.026560
Main,700,410,0.018667
Main,700,420,0.021322
Main,700,430,0.023439
Main,700,440,0.019181
Main,700,450,0.026878
Main,700,460,0.015472
Main,700,470,0.057834
Main,700,480,0.017622
Main,700,490,0.022084
Main,700,500,0.022470
Main,700,510,0.025400
Main,700,520,0.028965
Main,700,530,0.023518
Main,700,540,0.029672
Main,700,550,0.020594
Main,700,560,0.045743
Main,700,570,0.026529
Main,700,580,0.019821
Main,700,590,0.034671
Main,700,600,0.022767
Main,700,610,0.022494
Main,700,620,0.045141
Main,700,630,0.041228
Main,700,640,0.026670
Main,700,650,0.023099
Main,700,660,0.018629
Main,700,670,0.024558
Main,700,680,0.029910
Main,700,690,0.020506
Main,700,700,0.029371
EC2,800,10,0.011672
EC2,800,20,0.016314
EC2,800,30,0.010861
EC2,800,40,0.018717
EC2,800,50,0.010996
EC2,800,60,0.009154
EC2,800,70,0.011054
EC2,800,80,0.017689
EC2,800,90,0.014410
EC2,800,100,0.015421
EC2,800,110,0.016493
EC2,800,120,0.017348
EC2,800,130,0.036027
EC2,800,140,0.018587
EC2,800,150,0.018825
EC2,800,160,0.021993
EC2,800,170,0.017897
EC2,800,180,0.024599
EC2,800,190,0.023787
EC2,800,200,0.021711
EC2,800,210,0.025463
EC2,800,220,0.033141
EC2,800,230,0.032635
EC2,800,240,0.022756
EC2,800,250,0.029392
EC2,800,260,0.027067
EC2,800,270,0.045772
EC2,800,280,0.037045
EC2,800,290,0.026373
EC2,800,300,0.030717
EC2,800,310,0.028845
EC2,800,320,0.029642
EC2,800,330,0.035903
EC2,800,340,0.032742
EC2,800,350,0.062954
EC2,800,360,0.041814
EC2,800,370,0.032371
EC2,800,380,0.036305
EC2,800,390,0.032304
EC2,800,400,0.046993
EC2,800,410,0.042125
EC2,800,420,0.064787
EC2,800,430,0.059209
EC2,800,440,0.042946
EC2,800,450,0.039771
EC2,800,460,0.044625
EC2,800,470,0.053896
EC2,800,480,0.045424
EC2,800,490,0.041261
EC2,800,500,0.046019
EC2,800,510,0.046875
EC2,800,520,0.051278
EC2,800,530,0.049944
EC2,800,540,0.042858
EC2,800,550,0.048313
EC2,800,560,0.049739
EC2,800,570,0.052805
EC2,800,580,0.056203
EC2,800,590,0.051649
EC2,800,600,0.053570
EC2,800,610,0.046096
EC2,800,620,0.060577
EC2,800,630,0.049370
EC2,800,640,0.046692
EC2,800,650,0.070748
EC2,800,660,0.055590
EC2,800,670,0.044925
EC2,800,680,0.056505
EC2,800,690,0.040523
EC2,800,700,0.052605
EC2,800,710,0.063156
EC2,800,720,0.062182
EC2,800,730,0.058915
EC2,800,740,0.037340
EC2,800,750,0.045271
EC2,800,760,0.064385
EC2,800,770,0.050175
EC2,800,780,0.051040
EC2,800,790,0.048424
EC2,800,800,0.058401
Main,800,10,0.021394
Main,800,20,0.029830
Main,800,30,0.015790
Main,800,40,0.016005
Main,800,50,0.008241
Main,800,60,0.015708
Main,800,70,0.015571
Main,800,80,0.015689
Main,800,90,0.019130
Main,800,100,0.015923
Main,800,110,0.017233
Main,800,120,0.027900
Main,800,130,0.020952
Main,800,140,0.052493
Main,800,150,0.025161
Main,800,160,0.017183
Main,800,170,0.025896
Main,800,180,0.036284
Main,800,190,0.020686
Main,800,200,0.022364
Main,800,210,0.015048
Main,800,220,0.023023
Main,800,230,0.019217
Main,800,240,0.026310
Main,800,250,0.028780
Main,800,260,0.018147
Main,800,270,0.034898
Main,800,280,0.039059
Main,800,290,0.032491
Main,800,300,0.047361
Main,800,310,0.026172
Main,800,320,0.030470
Main,800,330,0.018108
Main,800,340,0.027828
Main,800,350,0.027154
Main,800,360,0.020897
Main,800,370,0.049100
Main,800,380,0.051939
Main,800,390,0.020452
Main,800,400,0.020869
Main,800,410,0.026058
Main,800,420,0.029466
Main,800,430,0.021210
Main,800,440,0.026245
Main,800,450,0.020611
Main,800,460,0.019323
Main,800,470,0.016643
Main,800,480,0.026451
Main,800,490,0.026493
Main,800,500,0.021843
Main,800,510,0.021625
Main,800,520,0.026717
Main,800,530,0.027664
Main,800,540,0.030726
Main,800,550,0.027290
Main,800,560,0.021336
Main,800,570,0.023972
Main,800,580,0.022900
Main,800,590,0.023049
Main,800,600,0.022651
Main,800,610,0.028713
Main,800,620,0.031985
Main,800,630,0.025832
Main,800,640,0.023265
Main,800,650,0.023774
Main,800,660,0.018441
Main,800,670,0.021022
Main,800,680,0.017868
Main,800,690,0.020583
Main,800,700,0.025806
Main,800,710,0.053571
Main,800,720,0.033434
Main,800,730,0.017095
Main,800,740,0.026266
Main,800,750,0.028907
Main,800,760,0.023215
Main,800,770,0.020500
Main,800,780,0.020333
Main,800,790,0.019087
Main,800,800,0.021593
EC2,900,10,0.031618
EC2,900,20,0.015124
EC2,900,30,0.009005
EC2,900,40,0.011398
EC2,900,50,0.009215
EC2,900,60,0.012458
EC2,900,70,0.014269
EC2,900,80,0.013406
EC2,900,90,0.017262
EC2,900,100,0.021098
EC2,900,110,0.016096
EC2,900,120,0.019682
EC2,900,130,0.021396
EC2,900,140,0.018617
EC2,900,150,0.020391
EC2,900,160,0.027835
EC2,900,170,0.029042
EC2,900,180,0.064725
EC2,900,190,0.019951
EC2,900,200,0.034335
EC2,900,210,0.021913
EC2,900,220,0.020585
EC2,900,230,0.023375
EC2,900,240,0.046601
EC2,900,250,0.027241
EC2,900,260,0.030061
EC2,900,270,0.029023
EC2,900,280,0.027741
EC2,900,290,0.067964
EC2,900,300,0.048274
EC2,900,310,0.035247
EC2,900,320,0.039525
EC2,900,330,0.045545
EC2,900,340,0.044729
EC2,900,350,0.032976
EC2,900,360,0.034060
EC2,900,370,0.037969
EC2,900,380,0.060226
EC2,900,390,0.045643
EC2,900,400,0.044188
EC2,900,410,0.068229
EC2,900,420,0.055809
EC2,900,430,0.056745
EC2,900,440,0.050323
EC2,900,450,0.074630
EC2,900,460,0.046406
EC2,900,470,0.057153
EC2,900,480,0.050403
EC2,900,490,0.047206
EC2,900,500,0.046535
EC2,900,510,0.061867
EC2,900,520,0.054767
EC2,900,530,0.080636
EC2,900,540,0.058251
EC2,900,550,0.060711
EC2,900,560,0.059485
EC2,900,570,0.073809
EC2,900,580,0.050990
EC2,900,590,0.048900
EC2,900,600,0.058809
EC2,900,610,0.055653
EC2,900,620,0.044151
EC2,900,630,0.058735
EC2,900,640,0.049986
EC2,900,650,0.053043
EC2,900,660,0.058706
EC2,900,670,0.057042
EC2,900,680,0.065464
EC2,900,690,0.061414
EC2,900,700,0.056726
EC2,900,710,0.073785
EC2,900,720,0.058569
EC2,900,730,0.060957
EC2,900,740,0.054090
EC2,900,750,0.045757
EC2,900,760,0.130009
EC2,900,770,0.046680
EC2,900,780,0.059707
EC2,900,790,0.060249
EC2,900,800,0.074898
EC2,900,810,0.082301
EC2,900,820,0.067215
EC2,900,830,0.078575
EC2,900,840,0.068644
EC2,900,850,0.062629
EC2,900,860,0.057194
EC2,900,870,0.052640
EC2,900,880,0.063289
EC2,900,890,0.051533
EC2,900,900,0.061391
Main,900,10,0.025311
Main,900,20,0.021043
Main,900,30,0.014106
Main,900,40,0.015088
Main,900,50,0.010334
Main,900,60,0.013533
Main,900,70,0.010454
Main,900,80,0.010871
Main,900,90,0.012385
Main,900,100,0.015677
Main,900,110,0.025442
Main,900,120,0.022268
Main,900,130,0.018035
Main,900,140,0.018831
Main,900,150,0.016807
Main,900,160,0.034669
Main,900,170,0.030558
Main,900,180,0.030807
Main,900,190,0.026080
Main,900,200,0.017792
Main,900,210,0.037780
Main,900,220,0.019811
Main,900,230,0.024806
Main,900,240,0.025790
Main,900,250,0.022955
Main,900,260,0.019926
Main,900,270,0.018887
Main,900,280,0.022360
Main,900,290,0.045722
Main,900,300,0.028942
Main,900,310,0.022801
Main,900,320,0.026725
Main,900,330,0.040082
Main,900,340,0.028861
Main,900,350,0.021898
Main,900,360,0.018205
Main,900,370,0.035701
Main,900,380,0.023551
Main,900,390,0.024025
Main,900,400,0.019959
Main,900,410,0.025610
Main,900,420,0.022093
Main,900,430,0.025661
Main,900,440,0.019507
Main,900,450,0.021879
Main,900,460,0.036952
Main,900,470,0.028410
Main,900,480,0.030328
Main,900,490,0.023454
Main,900,500,0.037413
Main,900,510,0.024423
Main,900,520,0.020022
Main,900,530,0.025048
Main,900,540,0.037126
Main,900,550,0.026714
Main,900,560,0.024896
Main,900,570,0.019052
Main,900,580,0.030227
Main,900,590,0.028265
Main,900,600,0.018967
Main,900,610,0.023838
Main,900,620,0.025211
Main,900,630,0.026229
Main,900,640,0.020648
Main,900,650,0.023569
Main,900,660,0.032737
Main,900,670,0.021590
Main,900,680,0.025452
Main,900,690,0.025111
Main,900,700,0.024513
Main,900,710,0.042837
Main,900,720,0.023245
Main,900,730,0.027297
Main,900,740,0.020643
Main,900,750,0.017993
Main,900,760,0.020251
Main,900,770,0.022139
Main,900,780,0.023980
Main,900,790,0.031812
Main,900,800,0.022304
Main,900,810,0.026085
Main,900,820,0.034851
Main,900,830,0.066194
Main,900,840,0.029364
Main,900,850,0.040170
Main,900,860,0.030964
Main,900,870,0.018564
Main,900,880,0.024890
Main,900,890,0.016388
Main,900,900,0.019368
EC2,1000,10,0.045972
EC2,1000,20,0.023070
EC2,1000,30,0.017388
EC2,1000,40,0.014755
EC2,1000,50,0.015385
EC2,1000,60,0.018261
EC2,1000,70,0.019963
EC2,1000,80,0.023844
EC2,1000,90,0.025029
EC2,1000,100,0.017086
EC2,1000,110,0.015936
EC2,1000,120,0.018793
EC2,1000,130,0.020622
EC2,1000,140,0.017280
EC2,1000,150,0.021239
EC2,1000,160,0.020426
EC2,1000,170,0.021181
EC2,1000,180,0.024293
EC2,1000,190,0.023337
EC2,1000,200,0.031583
EC2,1000,210,0.039074
EC2,1000,220,0.030520
EC2,1000,230,0.037436
EC2,1000,240,0.034956
EC2,1000,250,0.042505
EC2,1000,260,0.036576
EC2,1000,270,0.036960
EC2,1000,280,0.036494
EC2,1000,290,0.034053
EC2,1000,300,0.034574
EC2,1000,310,0.054437
EC2,1000,320,0.040349
EC2,1000,330,0.037758
EC2,1000,340,0.044826
EC2,1000,350,0.036246
EC2,1000,360,0.045209
EC2,1000,370,0.038959
EC2,1000,380,0.051523
EC2,1000,390,0.050323
EC2,1000,400,0.093213
EC2,1000,410,0.047631
EC2,1000,420,0.046421
EC2,1000,430,0.060740
EC2,1000,440,0.047032
EC2,1000,450,0.063893
EC2,1000,460,0.049378
EC2,1000,470,0.092025
EC2,1000,480,0.073634
EC2,1000,490,0.055561
EC2,1000,500,0.056141
EC2,1000,510,0.047761
EC2,1000,520,0.068425
EC2,1000,530,0.053273
EC2,1000,540,0.061013
EC2,1000,550,0.056452
EC2,1000,560,0.064208
EC2,1000,570,0.057379
EC2,1000,580,0.079582
EC2,1000,590,0.080220
EC2,1000,600,0.115003
EC2,1000,610,0.074967
EC2,1000,620,0.104069
EC2,1000,630,0.062647
EC2,1000,640,0.052374
EC2,1000,650,0.067946
EC2,1000,660,0.056687
EC2,1000,670,0.070082
EC2,1000,680,0.086381
EC2,1000,690,0.113131
EC2,1000,700,0.068668
EC2,1000,710,0.066211
EC2,1000,720,0.065813
EC2,1000,730,0.071599
EC2,1000,740,0.074730
EC2,1000,750,0.062916
EC2,1000,760,0.075075
EC2,1000,770,0.062792
EC2,1000,780,0.071960
EC2,1000,790,0.064238
EC2,1000,800,0.078375
EC2,1000,810,0.080556
EC2,1000,820,0.071086
EC2,1000,830,0.074427
EC2,1000,840,0.089528
EC2,1000,850,0.078625
EC2,1000,860,0.073018
EC2,1000,870,0.074297
EC2,1000,880,0.077040
EC2,1000,890,0.080280
EC2,1000,900,0.079083
EC2,1000,910,0.078092
EC2,1000,920,0.080066
EC2,1000,930,0.067147
EC2,1000,940,0.077182
EC2,1000,950,0.110237
EC2,1000,960,0.094866
EC2,1000,970,0.088187
EC2,1000,980,0.089258
EC2,1000,990,0.075295
Main,1000,10,0.021445
Main,1000,20,0.016176
Main,1000,30,0.016419
Main,1000,40,0.010443
Main,1000,50,0.007210
Main,1000,60,0.011191
Main,1000,70,0.018775
Main,1000,80,0.027344
Main,1000,90,0.026928
Main,1000,100,0.025678
Main,1000,110,0.020711
Main,1000,120,0.029677
Main,1000,130,0.048207
Main,1000,140,0.023718
Main,1000,150,0.029318
Main,1000,160,0.018902
Main,1000,170,0.019490
Main,1000,180,0.025158
Main,1000,190,0.029618
Main,1000,200,0.022029
Main,1000,210,0.025428
Main,1000,220,0.028428
Main,1000,230,0.041894
Main,1000,240,0.022308
Main,1000,250,0.018416
Main,1000,260,0.025734
Main,1000,270,0.034586
Main,1000,280,0.022824
Main,1000,290,0.033953
Main,1000,300,0.019372
Main,1000,310,0.029245
Main,1000,320,0.025016
Main,1000,330,0.052901
Main,1000,340,0.027640
Main,1000,350,0.018075
Main,1000,360,0.022073
Main,1000,370,0.046381
Main,1000,380,0.022732
Main,1000,390,0.033189
Main,1000,400,0.023163
Main,1000,410,0.021735
Main,1000,420,0.056620
Main,1000,430,0.023153
Main,1000,440,0.032892
Main,1000,450,0.027565
Main,1000,460,0.033680
Main,1000,470,0.018857
Main,1000,480,0.020212
Main,1000,490,0.018123
Main,1000,500,0.028155
Main,1000,510,0.023850
Main,1000,520,0.025566
Main,1000,530,0.030654
Main,1000,540,0.023765
Main,1000,550,0.026656
Main,1000,560,0.034533
Main,1000,570,0.024101
Main,1000,580,0.024631
Main,1000,590,0.016513
Main,1000,600,0.021550
Main,1000,610,0.025370
Main,1000,620,0.042680
Main,1000,630,0.026373
Main,1000,640,0.025467
Main,1000,650,0.039548
Main,1000,660,0.023702
Main,1000,670,0.017365
Main,1000,680,0.018154
Main,1000,690,0.015709
Main,1000,700,0.025432
Main,1000,710,0.022929
Main,1000,720,0.022828
Main,1000,730,0.030308
Main,1000,740,0.041486
Main,1000,750,0.029430
Main,1000,760,0.021262
Main,1000,770,0.024970
Main,1000,780,0.020725
Main,1000,790,0.022761
Main,1000,800,0.026101
Main,1000,810,0.022792
Main,1000,820,0.045554
Main,1000,830,0.019428
Main,1000,840,0.019930
Main,1000,850,0.025630
Main,1000,860,0.023992
Main,1000,870,0.034707
Main,1000,880,0.022690
Main,1000,890,0.021105
Main,1000,900,0.021796
Main,1000,910,0.016821
Main,1000,920,0.019467
Main,1000,930,0.017768
Main,1000,940,0.025430
Main,1000,950,0.023811
Main,1000,960,0.024656
Main,1000,970,0.031711
Main,1000,980,0.028421
Main,1000,990,0.023207
EC2,1100,10,0.019614
EC2,1100,20,0.023561
EC2,1100,30,0.026884
